State,County,Year,Unemployment_rate
GA,"Lee County, GA",2000,3.4
GA,"Liberty County, GA",2000,5.2
GA,"Lincoln County, GA",2000,5.7
GA,"Long County, GA",2000,3.6
GA,"Lowndes County, GA",2000,4.4
GA,"Lumpkin County, GA",2000,2.9
GA,"McDuffie County, GA",2000,4.4
GA,"McIntosh County, GA",2000,4.3
GA,"Macon County, GA",2000,6.6
GA,"Madison County, GA",2000,3.2
GA,"Marion County, GA",2000,3.9
GA,"Meriwether County, GA",2000,4.5
GA,"Miller County, GA",2000,4.1
GA,"Mitchell County, GA",2000,5.1
GA,"Monroe County, GA",2000,3.7
GA,"Montgomery County, GA",2000,5.7
GA,"Morgan County, GA",2000,3.4
GA,"Murray County, GA",2000,3.3
GA,"Muscogee County, GA",2000,4.7
GA,"Newton County, GA",2000,3.2
GA,"Oconee County, GA",2000,2.5
GA,"Oglethorpe County, GA",2000,3.0
GA,"Paulding County, GA",2000,2.7
GA,"Peach County, GA",2000,4.5
GA,"Pickens County, GA",2000,3.0
GA,"Pierce County, GA",2000,4.0
GA,"Pike County, GA",2000,3.7
GA,"Polk County, GA",2000,4.1
GA,"Pulaski County, GA",2000,4.0
GA,"Putnam County, GA",2000,3.5
GA,"Quitman County, GA",2000,6.3
GA,"Rabun County, GA",2000,3.2
GA,"Randolph County, GA",2000,5.9
GA,"Richmond County, GA",2000,4.4
GA,"Rockdale County, GA",2000,3.1
GA,"Schley County, GA",2000,4.1
GA,"Screven County, GA",2000,4.9
GA,"Seminole County, GA",2000,4.9
GA,"Spalding County, GA",2000,4.3
GA,"Stephens County, GA",2000,3.6
GA,"Stewart County, GA",2000,5.4
GA,"Sumter County, GA",2000,4.1
GA,"Talbot County, GA",2000,5.4
GA,"Taliaferro County, GA",2000,5.1
GA,"Tattnall County, GA",2000,5.7
GA,"Taylor County, GA",2000,5.3
GA,"Telfair County, GA",2000,7.7
GA,"Terrell County, GA",2000,5.2
GA,"Thomas County, GA",2000,4.2
GA,"Tift County, GA",2000,4.1
GA,"Toombs County, GA",2000,6.5
GA,"Towns County, GA",2000,4.3
GA,"Treutlen County, GA",2000,7.8
GA,"Troup County, GA",2000,3.6
GA,"Turner County, GA",2000,5.5
GA,"Twiggs County, GA",2000,4.4
GA,"Union County, GA",2000,3.9
GA,"Upson County, GA",2000,5.0
GA,"Walker County, GA",2000,3.5
GA,"Walton County, GA",2000,3.1
GA,"Ware County, GA",2000,5.0
GA,"Warren County, GA",2000,5.5
GA,"Washington County, GA",2000,4.7
GA,"Wayne County, GA",2000,4.9
GA,"Webster County, GA",2000,3.8
GA,"Wheeler County, GA",2000,6.2
GA,"White County, GA",2000,3.5
GA,"Whitfield County, GA",2000,3.5
GA,"Wilcox County, GA",2000,4.7
GA,"Wilkes County, GA",2000,4.6
GA,"Wilkinson County, GA",2000,4.3
GA,"Worth County, GA",2000,4.3
HI,Hawaii,2000,4.2
HI,"Hawaii County, HI",2000,5.0
HI,"Honolulu County/city, HI",2000,4.1
HI,"Kauai County, HI",2000,4.8
HI,"Maui County, HI",2000,3.9
ID,Idaho,2000,4.7
ID,"Ada County, ID",2000,3.4
ID,"Adams County, ID",2000,10.0
ID,"Bannock County, ID",2000,4.6
ID,"Bear Lake County, ID",2000,4.9
ID,"Benewah County, ID",2000,11.0
ID,"Bingham County, ID",2000,4.4
ID,"Blaine County, ID",2000,3.5
ID,"Boise County, ID",2000,4.9
ID,"Bonner County, ID",2000,7.7
ID,"Bonneville County, ID",2000,3.4
ID,"Boundary County, ID",2000,7.7
ID,"Butte County, ID",2000,4.3
ID,"Camas County, ID",2000,3.7
ID,"Canyon County, ID",2000,4.5
ID,"Caribou County, ID",2000,5.1
ID,"Cassia County, ID",2000,4.9
ID,"Clark County, ID",2000,5.3
ID,"Clearwater County, ID",2000,13.2
ID,"Custer County, ID",2000,5.6
ID,"Elmore County, ID",2000,5.7
ID,"Franklin County, ID",2000,3.2
ID,"Fremont County, ID",2000,4.8
ID,"Gem County, ID",2000,5.1
ID,"Gooding County, ID",2000,3.8
ID,"Idaho County, ID",2000,8.4
ID,"Jefferson County, ID",2000,3.7
ID,"Jerome County, ID",2000,4.3
ID,"Kootenai County, ID",2000,6.3
ID,"Latah County, ID",2000,4.2
ID,"Lemhi County, ID",2000,8.0
ID,"Lewis County, ID",2000,6.5
ID,"Lincoln County, ID",2000,4.4
ID,"Madison County, ID",2000,3.5
ID,"Minidoka County, ID",2000,5.7
ID,"Nez Perce County, ID",2000,5.2
ID,"Oneida County, ID",2000,3.4
ID,"Owyhee County, ID",2000,3.9
ID,"Payette County, ID",2000,6.7
ID,"Power County, ID",2000,5.7
ID,"Shoshone County, ID",2000,9.8
ID,"Teton County, ID",2000,3.0
ID,"Twin Falls County, ID",2000,4.2
ID,"Valley County, ID",2000,6.7
ID,"Washington County, ID",2000,6.8
IL,Illinois,2000,4.4
IL,"Adams County, IL",2000,3.6
IL,"Alexander County, IL",2000,7.4
IL,"Bond County, IL",2000,4.2
IL,"Boone County, IL",2000,4.7
IL,"Brown County, IL",2000,3.3
IL,"Bureau County, IL",2000,4.7
IL,"Calhoun County, IL",2000,5.3
IL,"Carroll County, IL",2000,5.5
IL,"Cass County, IL",2000,4.4
IL,"Champaign County, IL",2000,3.3
IL,"Christian County, IL",2000,5.1
IL,"Clark County, IL",2000,4.7
IL,"Clay County, IL",2000,5.8
IL,"Clinton County, IL",2000,3.6
IL,"Coles County, IL",2000,4.0
IL,"Cook County, IL",2000,4.9
IL,"Crawford County, IL",2000,5.5
IL,"Cumberland County, IL",2000,4.6
IL,"DeKalb County, IL",2000,3.4
IL,"De Witt County, IL",2000,5.3
IL,"Douglas County, IL",2000,3.8
IL,"DuPage County, IL",2000,3.4
IL,"Edgar County, IL",2000,4.3
IL,"Edwards County, IL",2000,5.0
IL,"Effingham County, IL",2000,4.2
IL,"Fayette County, IL",2000,6.0
IL,"Ford County, IL",2000,3.6
IL,"Franklin County, IL",2000,6.6
IL,"Fulton County, IL",2000,5.3
IL,"Gallatin County, IL",2000,5.9
IL,"Greene County, IL",2000,5.1
IL,"Grundy County, IL",2000,5.3
IL,"Hamilton County, IL",2000,4.9
IL,"Hancock County, IL",2000,4.3
IL,"Hardin County, IL",2000,6.3
IL,"Henderson County, IL",2000,4.0
IL,"Henry County, IL",2000,4.7
IL,"Iroquois County, IL",2000,4.2
IL,"Jackson County, IL",2000,4.2
IL,"Jasper County, IL",2000,4.8
IL,"Jefferson County, IL",2000,5.1
IL,"Jersey County, IL",2000,4.4
IL,"Jo Daviess County, IL",2000,4.1
IL,"Johnson County, IL",2000,6.0
IL,"Kane County, IL",2000,4.1
IL,"Kankakee County, IL",2000,4.4
IL,"Kendall County, IL",2000,3.3
IL,"Knox County, IL",2000,4.6
IL,"Lake County, IL",2000,3.5
IL,"LaSalle County, IL",2000,5.1
IL,"Lawrence County, IL",2000,5.4
IL,"Lee County, IL",2000,4.1
IL,"Livingston County, IL",2000,3.7
IL,"Logan County, IL",2000,3.8
IL,"McDonough County, IL",2000,4.1
IL,"McHenry County, IL",2000,3.6
IL,"McLean County, IL",2000,3.2
IL,"Macon County, IL",2000,5.0
IL,"Macoupin County, IL",2000,4.3
IL,"Madison County, IL",2000,4.2
IL,"Marion County, IL",2000,5.5
IL,"Marshall County, IL",2000,4.0
IL,"Mason County, IL",2000,5.6
IL,"Massac County, IL",2000,5.1
IL,"Menard County, IL",2000,3.4
IL,"Mercer County, IL",2000,5.3
IL,"Monroe County, IL",2000,3.1
IL,"Montgomery County, IL",2000,5.4
IL,"Morgan County, IL",2000,4.0
IL,"Moultrie County, IL",2000,4.0
IL,"Ogle County, IL",2000,4.1
IL,"Peoria County, IL",2000,4.3
IL,"Perry County, IL",2000,6.7
IL,"Piatt County, IL",2000,3.4
IL,"Pike County, IL",2000,5.2
IL,"Pope County, IL",2000,6.4
